Recipe Name,Recipe Id,Ingredient Title,subtitle,ingredient,supcs,cuisine
King Salmon with King Trumpet Mushrooms,33088,,,.5 ounces Imperial Fresh whole peeled shallots,"1821529, 2415859, 9582545",Japanese
King Salmon with King Trumpet Mushrooms,33088,,,1 ounce Wholesome Farms clarified butter 4-5#,3029614,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,2 ounces white wine,9546235,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,1.5 ounces Wholesome Farms Classic butter solid unsalted 83% minimum butterfat european,"3030117, 3029438, 3031438",Japanese
King Salmon with King Trumpet Mushrooms,33088,,,.15 ounces Imperial Fresh thyme herb,"2005270, 2005296, 4509782, 2005262",Japanese
King Salmon with King Trumpet Mushrooms,33088,,,.15 ounces Sysco Classic salt and pepper to taste,6040760,Japanese
King Salmon with King Trumpet Mushrooms,33088,,,.15 ounces Sysco Classic pepper to taste,"5229273, 5229281, 5229356, 5229331",Japanese
Lagareiro Cod,33087,,,4 ounces Portico Simply cod loin atlantic farm iqf,"7209574, 7209575",Portuguese
Lagareiro Cod,33087,,,6 fluid ounces Sysco Imperial extra virgin olive oil Delicato,"0255941, 4477941, 4497301, 5534151, 5846714, 7064341",Portuguese
Lagareiro Cod,33087,,,6 ounces round Imperial Fresh white potato,4768610,Portuguese
Lagareiro Cod,33087,,,1 ½ ounces Imperial Fresh red onions,"1039494, 1094663",Portuguese
Lagareiro Cod,33087,,,8 each Imperial Fresh peeled garlic,"0077172, 1821537",Portuguese
Lagareiro Cod,33087,,,4 ounces Imperial Fresh mixed tomato medley,3342965,Portuguese
Lagareiro Cod,33087,,,1 ounces olive black ripe sliced,1286319,Portuguese
Lagareiro Cod,33087,,,1 each Imperial / McCormick spice bay leaves whole,5158502,Portuguese
Lagareiro Cod,33087,,,¼ ounces Imperial Fresh rosemary fresh herb,"2004810, 2004828, 2004844, 3248684",Portuguese
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,4 ounces Portico Classic shrimp white peeled and deveined tail-on 21/25 count,6734939,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,2 each skewer bamboo 6 Inch,2102479,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,3 ounces Sysco Classic bacon layflat center-cut 14-18 per pound applewood smoked gas flushed,5886381,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,4 ounces pickled okra,4042834,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,4 ounces Sysco Imperial vegetable blend roasted corn & peppers,7084956,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,.50 ounces Imperial / McCormick blackened redfish seasoning,4029761,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,2 ounces heavy whipping cream,"4041143, 4828802, 4649160, 4676779",Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,4 ounces Wholesome Farms salted butter solid usda AA,3030816,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,1 fluid ounces worcestershire sauce,6003867,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,.25 ounces Imperial Fresh rosemary herb,"2004810, 2004828, 2004844, 3248684",Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,1 each Reliance Fresh lemon,"2252138, 2445781, 2252013, 2252039, 2252054, 2252070, 2252088, 2252138",Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,.50 ounces Imperial Fresh peeled garlic,"0077172, 1821537",Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,4 ounces seasoned fish fry batter mix,4502092,Southern
Shrimp Brochette over Crispy Okra Corn Maque Choux,33086,,,2 ounces Imperial Fresh cherry tomato,"2110161, 2203024, 6894257, 9308719, 1000306",Southern
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,2 pounds Sysco Classic pork belly sous vide fully cooked,5238930,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,10 fluid ounces soy ginger glaze,,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,10.5 ounces rice oriental sushi medium grain,9548819,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,2 ounces vinegar rice,"5783495, 4546826",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,.50 ounce Sysco Classic extra fine cane granulated sugar,4782694,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,.33 ounce Sysco Classic salt kosher flake coarse,"6040760, 3840752, 3888670, 4137398, 5218880, 6904759",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,2 ounces Imperial Fresh onions greens iceless fresh,"7350788, 8678120, 6728232",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,.50 cup pickled ginger aioli,,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,1 ounce seed sesame tuxedo white & black,"2225781, 2225797, 4394763",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,.10 ounce green micro wasabi,3997396,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,,,green micro cornabria blossom for garnish,7056798,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Soy Ginger Glaze,,8 fluid ounces Jade Mountain sauce soy,4005567,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Soy Ginger Glaze,,7.5 ounces Sysco Classic sugar brown light cane,5593702,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Soy Ginger Glaze,,.50 ounce ginger pickled bulk,2189700,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Soy Ginger Glaze,,.50 ounce vinegar rice,"5783495, 4546826",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Soy Ginger Glaze,,1 ounce Sysco Classic corn starch,"4073441, 4236105",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Soy Ginger Glaze,,12 fluid ounces of water,,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Pickled Ginger Aioli,,1 cup Sysco Imperial premium culinary mayonnaise,4002416,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Pickled Ginger Aioli,,4 ounces pickled ginger bulk,2189700,Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Pickled Ginger Aioli,,.13 ounce Imperial Fresh peeled garlic fresh jar,"1821537, 7127443, 8853954",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Pickled Ginger Aioli,,2 grams Sysco Classic salt kosher flake course,"6040760, 3840752, 3888670, 4137398, 5218880, 6904759",Japanese
Flame Seared Pork Belly Pressed Sushi with Scallion Rice and Pickled Ginger Aioli,30782,Pickled Ginger Aioli,,1 gram Sysco Imperial/McCormick spice pepper ground black,"5229273, 5229281, 5229356, 5229331",Japanese
Teriyaki Shrimp Burger,33093,,,2 pounds Portico Imperial white raw headless shrimp shell-on,"4325490, 0798957, 0799773, 0863716, 1377110, 4325124, 4325490, 4917993, 4934745, 6261467, 7062635, 7101669, 7128231, 7128237, 7128351, 7128355, 7132124, 7170458, 7541883, 8910321",Chinese
Teriyaki Shrimp Burger,33093,,,1 ounce Imperial Fresh whole peeled shallots,"1821529, 2415859, 9582545",Chinese
Teriyaki Shrimp Burger,33093,,,1 ounce Imperial Fresh peeled garlic,"0077172, 1821537",Chinese
Teriyaki Shrimp Burger,33093,,,.25 ounce Imperial Fresh chives herb,"2058840, 2058857, 2058881",Chinese
Teriyaki Shrimp Burger,33093,,,1 ounce corn starch,4032991,Chinese
Teriyaki Shrimp Burger,33093,,,4 ounces japanese teriyaki sauce,3626431,Chinese
Teriyaki Shrimp Burger,33093,,,12 ounces shredded cabbage greens,"1007970, 1491810",Chinese
Teriyaki Shrimp Burger,33093,,,.05 ounces Sysco Classic salt to taste,"6040760, 3840752, 3888670, 4137398, 5218880, 6904759",Chinese
Teriyaki Shrimp Burger,33093,,,.05 ounces  Sysco Classic pepper to taste,5331048,Chinese
Teriyaki Shrimp Burger,33093,,,4 ounces deep roasted sesame dressing,7049688,Chinese
Teriyaki Shrimp Burger,33093,,,2 tablespoons kimchee sauce base,3607100,Chinese
Teriyaki Shrimp Burger,33093,,,1 cup Sysco Imperial culinary premium mayonnaise,4002416,Chinese
Teriyaki Shrimp Burger,33093,,,4 each Bakersouce Imperial bun hamburger brioche 4.25 inch,"7055188, 5283447",Chinese
Teriyaki Shrimp Burger,33093,,,1 ounce Imperial Fresh baby arugula,5142072,Chinese
Shrimp Louie,33170,,,4 fluid ounces Arrezzio Imperial extra virgin olive oil,"4477941, 4477962, 5846714, 7064341, 7141728, 7141804",American
Shrimp Louie,33170,,,2 ounces honey pure hot chilies,7022264,American
Shrimp Louie,33170,,,2 ounces sauce tabasco hot,4007837,American
Shrimp Louie,33170,,,7 ½ fluid ounces Sysco Imperial mayonnaise gourmet premium,4116364,American
Shrimp Louie,33170,,,31 ounces Sysco Classic sauce cocktail,9869256,American
Shrimp Louie,33170,,,4 ounces parsley Italian fresh herb,"1814013, 2058907, 2058972, 2219111, 4509543, 6831515, 7410723",American
Shrimp Louie,33170,,,3 each Reliance Fresh lemon choice,"2252138, 2445781, 2252013, 2252039, 2252054, 2252070, 2252088, 2252138",American
Shrimp Louie,33170,,,10 ounces Imperial Portico shrimp white raw headless shell-on,"4325490, 0798957, 0799773, 0863716, 1377110, 4325124, 4325490, 4917993, 4934745, 6261467, 7062635, 7101669, 7128231, 7128237, 7128351, 7128355, 7132124, 7170458, 7541883, 8910321",American
Shrimp Louie,33170,,,7 each pastry puffed vol au vent,5368024,American
Shrimp Louie,33170,,,14 ounces kale fresh chopped rainbow,2713442,American
Shrimp Louie,33170,,,2 each avocado hass green fresh #2,"6815351, 7493607, 3439652, 8345809, 7681626, 78709128454001, 7006506, 7006508, 2847871, 7155759, 2615296, 8465643",American
Shrimp Louie,33170,,,7 ounces Imperial Fresh tomato fresh mixed medley,3342965,American
Shrimp Louie,33170,,,1 ½ ounces radish red cello pack fresh,1000355,American
Shrimp Louie,33170,,,½ ounce green micro rainbow mix combo,5047468,American
Shrimp Louie,33170,,,½ cup Arrezzio Imperial oil olive extra virgin bag in box,"4477941, 4477962, 5846714, 7064341, 7141728, 7141804",American
Shrimp Louie,33170,,,7 each egg hard boiled whole peeled pillow-packed,"3115532, 7113463, 5099563, 3165677, 6959946, 1880097, 6764700, 3747132, 3762360, 7033374",American
Shrimp Louie,33170,,,1 ounce caviar tobiko orange,,American
Shrimp Ceviche With Tostones,33101,,,5 ounces Portico Imperial shrimp white raw headless shell-on,"4325490, 0798957, 0799773, 0863716, 1377110, 4325124, 4325490, 4917993, 4934745, 6261467, 7062635, 7101669, 7128231, 7128237, 7128351, 7128355, 7132124, 7170458, 7541883, 8910321",Cuban
Shrimp Ceviche With Tostones,33101,,,2 ounces Sysco Imperial mango half iqf,7258155,Cuban
Shrimp Ceviche With Tostones,33101,,,1 ounce Imperial Fresh onion red jumbo bag,"1039494, 1094663, 1623610, 3341104, 5098905, 8313967, 8399925, 8877748, 1705995",Cuban
Shrimp Ceviche With Tostones,33101,,,3 ounces cucumber english medium seedless 12 count,"1735372, 7134591, 7134593",Cuban
Shrimp Ceviche With Tostones,33101,,,¼ ounces Imperial Fresh cilantro herb,"1048248, 2004612, 2004620, 2219095, 8539017",Cuban
Shrimp Ceviche With Tostones,33101,,,2 ounces Sysco Supreme vegetarian blend roasted white corn and peppers,3617549,Cuban
Shrimp Ceviche With Tostones,33101,,,⅕ pint Imperial Fresh tomato grape,"3964764, 4724908, 5198767, 6017263, 6017370, 9398900",Cuban
Shrimp Ceviche With Tostones,33101,,,5 ounces banana plantain green,927331,Cuban
Shrimp Ceviche With Tostones,33101,,,1 cups Imperial Fresh juice lemon pasteurized ultra premium,"3865649, 3944574, 4063095",Cuban
Shrimp Ceviche With Tostones,33101,,,1 ½ fluid ounces Sysco Imperial oil olive extra virgin delicato,4497301,Cuban
Shrimp Ceviche With Tostones,33101,,,2 each Imperial Fresh lime,"7412570, 9578964, 9041435",Cuban
Shrimp Ceviche With Tostones,33101,,,⅒ ounces spice salt himalayan pink medium,6898262,Cuban
Shrimp “Al Ajillo”,33102,,,3 ounces Portico Imperial shrimp white raw headless shell-on,"4325490, 0798957, 0799773, 0863716, 1377110, 4325124, 4325490, 4917993, 4934745, 6261467, 7062635, 7101669, 7128231, 7128237, 7128351, 7128355, 7132124, 7170458, 7541883, 8910321",Caribbean
Shrimp “Al Ajillo”,33102,,,4 ounces Sysco Classic couscous vegetables roasted,7209271,Caribbean
Shrimp “Al Ajillo”,33102,,,½ ounce sliced Salchicon Iberico pork,3556604,Caribbean
Shrimp “Al Ajillo”,33102,,,½ gram saffron spice,1428772,Caribbean
Shrimp “Al Ajillo”,33102,,,½ ounce Imperial Fresh garlic peeled,"0077172, 1821537",Caribbean
Shrimp “Al Ajillo”,33102,,,1 ounce Imperial Fresh red onion,"1039494, 1094663, 1623610, 3341104, 5098905, 8313967, 8399925, 8877748, 1705995",Caribbean
Shrimp “Al Ajillo”,33102,,,1 ounce Imperial Fresh large green bell pepper,"6318059, 6686505, 6902340, 1008416, 2997138, 4314811, 6519649, 6941348, 8338758, 9917675, 2336733, 7068528, 7068667",Caribbean
Shrimp “Al Ajillo”,33102,,,2 ounces Imperial Fresh cilantro herb,"1048248, 2004612, 2004620, 2219095, 8539017",Caribbean
Shrimp “Al Ajillo”,33102,,,¼ ounce banana plantain,927331,Caribbean
Shrimp “Al Ajillo”,33102,,,4 ounces Imperial Sauce butter base all natural,7161956,Caribbean
Shrimp “Al Ajillo”,33102,,,2 grams micro cilantro,7010343,Caribbean
Shrimp “Al Ajillo”,33102,,,10 ounces red pepper,"3445253, 3723766, 1160680, 1414699, 2129856, 2161170, 2841351, 3657782, 4742928",Caribbean
Shrimp “Al Ajillo”,33102,,,2 ounces Arrezzio Classic garlic spread,5975016,Caribbean
Shrimp “Al Ajillo”,33102,,,½ each Reliance Fresh lemon,"2252138, 2445781, 2252013, 2252039, 2252054, 2252070, 2252088, 2252138",Caribbean
Shrimp “Al Ajillo”,33102,,,2 fluid ounces Sysco Imperial culinary premium mayonnaise,4002416,Caribbean
Garlic Butter Shrimp (Halabos na Hipon),33091,,,1 pound Portico Simply shrimp brown raw headless shell-on 21-25 count block wild caught,"4325490, 0798957, 0799773, 0863716, 1377110, 4325124, 4325490, 4917993, 4934745, 6261467, 7062635, 7101669, 7128231, 7128237, 7128351, 7128355, 7132124, 7170458, 7541883, 8910321",Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,2 tablespoons Imperial Fresh peeled garlic,"0077172, 1821537",Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,1 tablespoon Arrezzio olive oil blend 80/20,5934302,Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,2 ounces Wholesome Farms salted butter solid usda AA,3030816,Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,8 fluid ounces Sprite soda,5360359,Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,2 tablespoons Sysco Classic kosher salt coarse flake,6040760,Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,1 tablespoon Sysco Classic ground black pepper,"5229273, 5229281, 5229356, 5229331",Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,½ each Reliance Fresh lemon,"2252138, 2445781, 2252013, 2252039, 2252054, 2252070, 2252088, 2252138",Fusion
Garlic Butter Shrimp (Halabos na Hipon),33091,,,¼ ounces Imperial Fresh green onion iceless,"1609403, 7350788, 8113987, 8678120, 9422098, 3262672",Fusion
BBQ Shrimp Toast & Grits,33094,,,8 fluid ounces hot cereal grits yellow stone ground,9884172,Southern
BBQ Shrimp Toast & Grits,33094,,,16 ounces water,,Southern
BBQ Shrimp Toast & Grits,33094,,,16 fluid ounces Wholesome Farms heavy whipping cream,"2592525, 4828802, 5025329, 5065335, 6935464, 7069854, 7166518",Southern
BBQ Shrimp Toast & Grits,33094,,,1 tablespoon Sysco Imperial real chicken soup base,"5814413, 4699542, 4944575, 4944641, 4996674, 4944567, 0188148, 5438833, 4944534, 4944542, 4944450, 4944484, 4944492",Southern
BBQ Shrimp Toast & Grits,33094,,,2 ounces Imperial Fresh garlic,"0077172, 1821537",Southern
BBQ Shrimp Toast & Grits,33094,,,4 ounces Casa Solana shredded yellow cheddar cheese mild feather,2404135,Southern
BBQ Shrimp Toast & Grits,33094,,,6 ounces okra cut Iqf,2352136,Southern
BBQ Shrimp Toast & Grits,33094,,,2 pounds Portico Imperial brown raw headless shell-on shrimp,"4325490, 0798957, 0799773, 0863716, 1377110, 4325124, 4325490, 4917993, 4934745, 6261467, 7062635, 7101669, 7128231, 7128237, 7128351, 7128355, 7132124, 7170458, 7541883, 8910321",Southern
BBQ Shrimp Toast & Grits,33094,,,24 fluid ounces Michelada Love cocktail mixer,7196344,Southern
BBQ Shrimp Toast & Grits,33094,,,1 ounce Wholesome Farms Imperial unsalted butter solid usda AA,"3029438, 3030117, 3031442, 7475999, 5926928",Southern
BBQ Shrimp Toast & Grits,33094,,,10 ounces Block & Barrel frozen andouille sausage,3352723,Southern
BBQ Shrimp Toast & Grits,33094,,,2 ounces Imperial Fresh mixed tomato medley,3342965,Southern
BBQ Shrimp Toast & Grits,33094,,,1 ounce Imperial Fresh baby arugula,5142072,Southern
BBQ Shrimp Toast & Grits,33094,,,¼ each Imperial Fresh medium english cucumber seedless,"1735372, 7134591, 7134593",Southern
BBQ Shrimp Toast & Grits,33094,,,2 ounces Casa Solana avocado pulp fresh hand scooped,7131892,Southern
BBQ Shrimp Toast & Grits,33094,,,2 ounces bread panini sliced 15.5″,4299681,Southern
New Orleans BBQ Shrimp,33631,,,1 pound Portico Imperial shrimp brown raw headless shell-on 21-25 count block wild caught,"4325490, 0798957, 0799773, 0863716, 1377110, 4325124, 4325490, 4917993, 4934745, 6261467, 7062635, 7101669, 7128231, 7128237, 7128351, 7128355, 7132124, 7170458, 7541883, 8910321",Southern
New Orleans BBQ Shrimp,33631,,,2 fluid ounces Arrezzio Classic oil olive canola evoo 75/25,"5655618, 6332845",Southern
New Orleans BBQ Shrimp,33631,,,4 tablespoons Imperial Fresh garlic peeled,"0077172, 1821537",Southern
New Orleans BBQ Shrimp,33631,,,3 tablespoons Imperial Fresh rosemary herb,1794858,Southern
New Orleans BBQ Shrimp,33631,,,4 fluid ounces of your favorite beer,,Southern
New Orleans BBQ Shrimp,33631,,,6 tablespoons Worcestershire sauce,6003867,Southern
New Orleans BBQ Shrimp,33631,,,3 tablespoons Louisiana hot sauce,4369146,Southern
New Orleans BBQ Shrimp,33631,,,2 each Reliance Fresh lemon choice,"2252138, 2445781, 2252013, 2252039, 2252054, 2252070, 2252088, 2252138",Southern
New Orleans BBQ Shrimp,33631,,,4 fluid ounces Wholesome Farms Classic cream heavy 40% extended shelf life stabilized,"2592525, 4828802, 5025329, 5065335, 6935464, 7069854, 7166518",Southern
New Orleans BBQ Shrimp,33631,,,2 ounces Wholesome Farms Imperial butter solid unsalted 83% minimum butterfat european,"3030117, 3029438, 3031438",Southern
New Orleans BBQ Shrimp,33631,,,1 ½ tablespoons Imperial / McCormick seasoning blackened redfish,4029761,Southern
New Orleans BBQ Shrimp,33631,,,4 units Baker’s Source Classic bread garlic yellow slice 4.5 inch,7113593,Southern
Seared Scallops with Heirloom Tomato Salad,33575,,,3 each Portico Pride scallops sea dry (10–⁠20 per count),"7056724, 8081695, 2138677, 7092314, 2138651, 1801604, 1823038, 1859386, 4529475",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,1/16 teaspoon (a pinch)  Zen-Sational spice fennel blend,"6310967, 0614620",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,6 ounces Packer tomato baby heirloom assorted,"4358723, 3223847, 1601303, 925731, 0612164",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,3 ounces Sysco Imperial corn whole fresh fire roasted with sea salt and olive oil,"7152444, 7085140, 7035159",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,1/2 each Imperial Fresh jalapeño pepper,"1185156, 1350271",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,1/4 cup Imperial Fresh cilantro,"1048248, 2004612, 2004620, 2219095, 8539017",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,2 tablespoons Pica y Salpica cheese wheel queso fresco,"7623509, 7224119, 5972716",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,2 tablespoons Sysco Imperial dressing cilantro vinaigrette low fat,"9591264, 4626562, 8786780",Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,1 teaspoon pepper chile red flake aleppo,7163844,Mexican
Seared Scallops with Heirloom Tomato Salad,33575,,,1 tablespoon Arrezzio Classic oil olive blend 80/20,5934302,Mexican
Turkey Sausage ScrambleBreakfast Bowl,32436,,,4 ounces Sysco Classic turkey sausage and egg scramble,7225473,American
Turkey Sausage ScrambleBreakfast Bowl,32436,,,4 ounces Sysco Imperial entree cheese grits,7116857,American
Turkey Sausage ScrambleBreakfast Bowl,32436,,,2 ounces Imperial Fresh spinach clipped,1675925,American
Turkey Sausage ScrambleBreakfast Bowl,32436,,,1 tablespoon Arrezzio Classic olive oil,"4477941, 4477962, 4497301, 5655618, 5846714, 5847029",American
Turkey Sausage ScrambleBreakfast Bowl,32436,,,2 ounces Arrezzio Imperial Alfredo sauce,6525117,American
Turkey Sausage ScrambleBreakfast Bowl,32436,,,.50 ounce Arrezzio Imperial cheese parmesan grated fresh,4061547,American
Turkey Sausage ScrambleBreakfast Bowl,32436,,,.10 ounce Imperial / McCormick salt to taste,"6040760, 3840752, 3888670, 4137398, 5218880, 6904759",American
Turkey Sausage ScrambleBreakfast Bowl,32436,,,.10 ounce Imperial / McCormick pepper to taste,"5229273, 5229281, 5229356, 5229331",American
Birria Ramen with Beef,32492,,,1 each egg shell extra large white A cage free,5070743,Japanese
Birria Ramen with Beef,32492,,,3 ounces noodle asian ramen original,7517238,Japanese
Birria Ramen with Beef,32492,,,.50 ounces Imperial Fresh onion green iceless,"1609403, 7350788, 8113987, 8678120, 9422098, 3262672",Japanese
Birria Ramen with Beef,32492,,,.25 ounces Imperial Fresh onion yellow jumbo bag,"1000405, 1094721, 8313918, 5430202, 1074747, 7750243",Japanese
Birria Ramen with Beef,32492,,,1 each limes fresh 200 count,1048313,Japanese
Birria Ramen with Beef,32492,,,6 ounces birria meat,7230932,Japanese
